"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should delete account: user_1755348055303_4927@example.com","Google Chrome","Sat Aug 16 19:45:15 GMT+07:00 2025","failed","Sat Aug 16 19:45:15 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","11502","should create and then delete a single static account","Google Chrome","Sat Aug 16 19:45:05 GMT+07:00 2025","failed","Sat Aug 16 19:45:17 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","9998","should create and then delete a new account","firefox","Sat Aug 16 19:34:18 GMT+07:00 2025","failed","Sat Aug 16 19:34:28 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","9308","should create and then delete a new account","Microsoft Edge","Sat Aug 16 19:34:46 GMT+07:00 2025","failed","Sat Aug 16 19:34:55 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","1","should delete account: user_1755348031160_1581@example.com","firefox","Sat Aug 16 19:43:55 GMT+07:00 2025","failed","Sat Aug 16 19:43:55 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","10340","should delete account: user_1755348066603_2135@example.com","Microsoft Edge","Sat Aug 16 19:44:53 GMT+07:00 2025","failed","Sat Aug 16 19:45:03 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","11043","should delete the created account","chromium","Sat Aug 16 19:17:39 GMT+07:00 2025","passed","Sat Aug 16 19:17:50 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","4968","should load and display main elements","webkit","Sat Aug 16 19:44:31 GMT+07:00 2025","passed","Sat Aug 16 19:44:36 GMT+07:00 2025","Homepage - Major Browsers","homepage_major.spec.ts","",""
"","5835","should delete the created account","Google Chrome","Sat Aug 16 19:18:31 GMT+07:00 2025","passed","Sat Aug 16 19:18:37 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","0","should delete account: user_1755348045837_4656@example.com","Microsoft Edge","Sat Aug 16 19:44:47 GMT+07:00 2025","failed","Sat Aug 16 19:44:47 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","10532","should delete account: user_1755348055303_4927@example.com","firefox","Sat Aug 16 19:43:56 GMT+07:00 2025","failed","Sat Aug 16 19:44:07 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","6469","should delete account: user_1755348055303_4927@example.com","chromium","Sat Aug 16 19:43:37 GMT+07:00 2025","passed","Sat Aug 16 19:43:44 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
